country,seasonality,year_month,year,month,unemployment,unemployment_rate,country_group,name_en,unemployment_rate_null
at,nsa,1993.01,1993,1,171000,4.5,eu,Austria,False
at,nsa,1993.02,1993,2,175000,4.6,eu,Austria,False
at,nsa,1993.03,1993,3,166000,4.4,eu,Austria,False
at,nsa,1993.04,1993,4,157000,4.1,eu,Austria,False
at,nsa,1993.05,1993,5,147000,3.9,eu,Austria,False
at,nsa,1993.06,1993,6,134000,3.5,eu,Austria,False
at,nsa,1993.07,1993,7,128000,3.4,eu,Austria,False
at,nsa,1993.08,1993,8,130000,3.4,eu,Austria,False
at,nsa,1993.09,1993,9,132000,3.5,eu,Austria,False
at,nsa,1993.1,1993,10,141000,3.7,eu,Austria,False
at,nsa,1993.11,1993,11,156000,4.1,eu,Austria,False
at,nsa,1993.12,1993,12,169000,4.4,eu,Austria,False
at,nsa,1994.01,1994,1,180000,4.7,eu,Austria,False
at,nsa,1994.02,1994,2,180000,4.7,eu,Austria,False
at,nsa,1994.03,1994,3,164000,4.3,eu,Austria,False
at,nsa,1994.04,1994,4,152000,4.0,eu,Austria,False
at,nsa,1994.05,1994,5,143000,3.8,eu,Austria,False
at,nsa,1994.06,1994,6,127000,3.4,eu,Austria,False
at,nsa,1994.07,1994,7,120000,3.2,eu,Austria,False
at,nsa,1994.08,1994,8,121000,3.2,eu,Austria,False
at,nsa,1994.09,1994,9,125000,3.3,eu,Austria,False
at,nsa,1994.1,1994,10,134000,3.5,eu,Austria,False
at,nsa,1994.11,1994,11,148000,3.9,eu,Austria,False
at,nsa,1994.12,1994,12,159000,4.2,eu,Austria,False
at,nsa,1995.01,1995,1,172000,4.5,eu,Austria,False
at,nsa,1995.02,1995,2,174000,4.5,eu,Austria,False
at,nsa,1995.03,1995,3,160000,4.2,eu,Austria,False
at,nsa,1995.04,1995,4,150000,3.9,eu,Austria,False
at,nsa,1995.05,1995,5,141000,3.7,eu,Austria,False
at,nsa,1995.06,1995,6,129000,3.4,eu,Austria,False
at,nsa,1995.07,1995,7,123000,3.3,eu,Austria,False
at,nsa,1995.08,1995,8,126000,3.4,eu,Austria,False
at,nsa,1995.09,1995,9,129000,3.5,eu,Austria,False
at,nsa,1995.1,1995,10,139000,3.7,eu,Austria,False
at,nsa,1995.11,1995,11,157000,4.2,eu,Austria,False
at,nsa,1995.12,1995,12,175000,4.7,eu,Austria,False
at,nsa,1996.01,1996,1,193000,5.1,eu,Austria,False
at,nsa,1996.02,1996,2,202000,5.3,eu,Austria,False
at,nsa,1996.03,1996,3,193000,5.1,eu,Austria,False
